Experiment key,run_name,model,Server start time,Duration,data_set,best_model_score_0,best_model_score_1,best_model_score_2,best_model_score_3,best_model_score_4,avg_saved_prototypes,table_entry,val_acc_0,val_acc_1,val_acc_2,val_acc_3,val_acc_4,lr,Batch size,pc_prototypes_init,pc_number_of_prototypes,pc_sim_func,pc_project_prototypes_every_n,pc_cls_loss_weight,pc_sep_loss_weight,pc_separation_threshold,pc_conv_filters,Current epoch,seed,avg_best_scores,std_best_scores
bf007a39a76e4c4fa022388d2d4e6bc8,repeat_12_prot_bench,protoconv,1623785943523,1431,rottentomatoes,0.7335,0.73949,0.73949,0.66066,0.74395,12,0.723 ($\pm$0.032),0.72516,0.73716,0.73699,0.6365,0.74195,0.001,32,rand,12,log,1,0.005,0.005,1,64,13,0,0.72342,0.03155
180a7252101243d8bebd39f59ea9207b,repeat_12_prot_bench,protoconv,1623783611970,2320,amazon,0.88249,0.874,0.882,0.52816,0.8755,12,0.808 ($\pm$0.140),0.87816,0.869,0.87266,0.521,0.87283,0.001,32,rand,12,log,1,0.005,0.005,1,64,16,0,0.80843,0.14017
83a4e25361a0405688014f927d91ee38,repeat_6_prot_bench,protoconv,1623782873537,716,hotel,0.74947,0.67052,0.88736,0.76606,0.67017,6,0.749 ($\pm$0.080),0.73157,0.66736,0.88631,0.75763,0.65858,0.001,32,rand,6,log,1,0.005,0.005,1,64,18,0,0.74872,0.07975
4b109ed10fcb4224ad2ba8a1111db62d,repeat_12_prot_bench,protoconv,1623782001576,4558,imdb,0.85399,0.85659,0.846,0.86119,0.7778,12,0.839 ($\pm$0.031),0.8514,0.85019,0.842,0.85439,0.77579,0.001,32,rand,12,log,1,0.005,0.005,1,64,14,0,0.83911,0.03105
e10994981b3b491db3d262462ca5131e,repeat_6_prot_bench,protoconv,1623781368523,1502,rottentomatoes,0.72583,0.73199,0.614,0.57383,0.74229,6,0.678 ($\pm$0.070),0.7225,0.72683,0.59833,0.56083,0.73245,0.001,32,rand,6,log,1,0.005,0.005,1,64,15,0,0.67759,0.06968
73cd250bd1bb49eba3d42b652d109499,repeat_12_prot_bench,protoconv,1623778082491,3908,yelp,0.83083,0.837,0.84366,0.83533,0.83147,12,0.836 ($\pm$0.005),0.82866,0.837,0.83383,0.82983,0.8283,0.001,32,rand,12,log,1,0.005,0.005,1,64,16,0,0.83566,0.00462
5a1571ef91e441d797a3150cf50f99ec,repeat_6_prot_bench,protoconv,1623777899700,3466,yelp,0.59516,0.83099,0.83216,0.609,0.58943,6,0.691 ($\pm$0.115),0.5835,0.82683,0.82216,0.58333,0.56992,0.001,32,rand,6,log,1,0.005,0.005,1,64,11,0,0.69135,0.11467
50602071e1a6464688ff360fa487f315,repeat_12_prot_bench,protoconv,1623777391953,680,hotel,0.88421,0.6821,0.70736,0.74183,0.87987,12,0.779 ($\pm$0.086),0.87999,0.65368,0.69052,0.73761,0.87776,0.001,32,rand,12,log,1,0.005,0.005,1,64,25,0,0.77907,0.08619
a8a38332f89643a285451be2963a40cc,repeat_6_prot_bench,protoconv,1623775502380,2395,amazon,0.87333,0.86883,0.88283,0.55166,0.875,6,0.810 ($\pm$0.129),0.86983,0.86883,0.87949,0.52649,0.87099,0.001,32,rand,6,log,1,0.005,0.005,1,64,15,0,0.81033,0.12941
0dcd7f1fa9f9493693af1ac51ca462c3,repeat_6_prot_bench,protoconv,1623770704317,4795,imdb,0.85079,0.689,0.8446,0.85839,0.7742,6,0.803 ($\pm$0.065),0.83179,0.67879,0.83759,0.85479,0.76179,0.001,32,rand,6,log,1,0.005,0.005,1,64,19,0,0.8034,0.06466
13b038c1c5f84d798682cc163272c2ae,repeat_8_prot_bench,protoconv,1623745850351,750,hotel,0.87789,0.88315,0.69157,0.77344,0.71865,8,0.789 ($\pm$0.079),0.87684,0.87789,0.68736,0.75237,0.71443,0.001,32,rand,8,log,1,0.005,0.005,1,64,14,0,0.78894,0.0793
