,Dataset,Number of iterations,Percentage of decisions changed
0,imdb,1,0.4502
1,imdb,2,0.7656
2,imdb,3,0.9152
3,imdb,4,0.969
4,imdb,5,0.988
5,amazon,1,0.46066666666666667
6,amazon,2,0.758
7,amazon,3,0.8943333333333333
8,amazon,4,0.9521666666666667
9,amazon,5,0.9758333333333333
10,yelp,1,0.43933333333333335
11,yelp,2,0.704
12,yelp,3,0.8456666666666667
13,yelp,4,0.9125
14,yelp,5,0.945
15,rottentomatoes,1,0.5315
16,rottentomatoes,2,0.727
17,rottentomatoes,3,0.7896666666666666
18,rottentomatoes,4,0.8083333333333333
19,rottentomatoes,5,0.8126666666666666
20,hotel,1,0.4326315789473684
21,hotel,2,0.6968421052631579
22,hotel,3,0.8336842105263158
23,hotel,4,0.9042105263157895
24,hotel,5,0.9336842105263158
