,Dataset,Number of iterations,Percentage of decisions changed
0,imdb,1,0.0648
1,imdb,2,0.126
2,imdb,3,0.1782
3,imdb,4,0.2236
4,imdb,5,0.266
5,amazon,1,0.16716666666666666
6,amazon,2,0.27666666666666667
7,amazon,3,0.3615
8,amazon,4,0.4251666666666667
9,amazon,5,0.48083333333333333
10,yelp,1,0.10283333333333333
11,yelp,2,0.17716666666666667
12,yelp,3,0.23366666666666666
13,yelp,4,0.2846666666666667
14,yelp,5,0.32916666666666666
15,rottentomatoes,1,0.37116666666666664
16,rottentomatoes,2,0.5036666666666667
17,rottentomatoes,3,0.5656666666666667
18,rottentomatoes,4,0.5986666666666667
19,rottentomatoes,5,0.6163333333333333
20,hotel,1,0.21578947368421053
21,hotel,2,0.32421052631578945
22,hotel,3,0.44
23,hotel,4,0.5210526315789473
24,hotel,5,0.5778947368421052
25,imdb,0,0.0
26,amazon,0,0.0
27,yelp,0,0.0
28,rottentomatoes,0,0.0
29,hotel,0,0.0
